load_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
L14,0.401,0.3588,0.3285,0.3127,0.3033,0.3028,0.2959,0.2909,0.3341,0.412,0.4636,0.5018,0.4785,0.4291,0.4067,0.4045,0.4584,0.519,0.5356,0.5532,0.5319,0.5096,0.4511,0.3381
L15,0.3008,0.2691,0.2464,0.2345,0.2275,0.2271,0.2219,0.2181,0.2506,0.309,0.3477,0.3764,0.3589,0.3218,0.305,0.3034,0.3438,0.3893,0.4017,0.4149,0.3989,0.3822,0.3383,0.2535
L16,0.1203,0.1076,0.0986,0.0938,0.091,0.0908,0.0888,0.0873,0.1002,0.1236,0.1391,0.1506,0.1435,0.1287,0.122,0.1213,0.1375,0.1557,0.1607,0.166,0.1596,0.1529,0.1353,0.1014
L17,0.0936,0.0837,0.0767,0.073,0.0708,0.0707,0.0691,0.0679,0.078,0.0961,0.1082,0.1171,0.1116,0.1001,0.0949,0.0944,0.107,0.1211,0.125,0.1291,0.1241,0.1189,0.1053,0.0789
L18,0.0668,0.0598,0.0548,0.0521,0.0505,0.0505,0.0493,0.0485,0.0557,0.0687,0.0773,0.0836,0.0797,0.0715,0.0678,0.0674,0.0764,0.0865,0.0893,0.0922,0.0886,0.0849,0.0752,0.0563
L19,0.0468,0.0419,0.0383,0.0365,0.0354,0.0353,0.0345,0.0339,0.039,0.0481,0.0541,0.0585,0.0558,0.0501,0.0474,0.0472,0.0535,0.0606,0.0625,0.0645,0.0621,0.0595,0.0526,0.0394
L20,0.0869,0.0777,0.0712,0.0678,0.0657,0.0656,0.0641,0.063,0.0724,0.0893,0.1004,0.1087,0.1037,0.093,0.0881,0.0876,0.0993,0.1125,0.116,0.1199,0.1152,0.1104,0.0977,0.0732
L21,0.4746,0.4245,0.3888,0.37,0.3589,0.3583,0.3502,0.3442,0.3953,0.4876,0.5486,0.5938,0.5662,0.5077,0.4813,0.4787,0.5424,0.6142,0.6337,0.6547,0.6294,0.603,0.5338,0.4
L22,0.1136,0.1016,0.0931,0.0886,0.0859,0.0858,0.0838,0.0824,0.0947,0.1167,0.1313,0.1422,0.1356,0.1216,0.1152,0.1146,0.1299,0.1471,0.1517,0.1568,0.1507,0.1444,0.1278,0.0958
L23,0.1604,0.1435,0.1314,0.1251,0.1213,0.1211,0.1184,0.1163,0.1336,0.1648,0.1854,0.2007,0.1914,0.1716,0.1627,0.1618,0.1833,0.2076,0.2142,0.2213,0.2128,0.2038,0.1805,0.1352
L24,0.2874,0.2571,0.2354,0.2241,0.2173,0.217,0.2121,0.2084,0.2394,0.2953,0.3322,0.3597,0.3429,0.3075,0.2915,0.2899,0.3285,0.372,0.3838,0.3965,0.3812,0.3652,0.3233,0.2423
L25,0.3944,0.3528,0.323,0.3075,0.2982,0.2978,0.291,0.286,0.3285,0.4052,0.4558,0.4935,0.4705,0.4219,0.3999,0.3978,0.4507,0.5104,0.5266,0.544,0.523,0.5011,0.4436,0.3324
L26,0.1537,0.1375,0.1259,0.1199,0.1163,0.1161,0.1134,0.1115,0.1281,0.158,0.1777,0.1924,0.1834,0.1645,0.1559,0.1551,0.1757,0.199,0.2053,0.2121,0.2039,0.1954,0.1729,0.1296
L27,0.3944,0.3528,0.323,0.3075,0.2982,0.2978,0.291,0.286,0.3285,0.4052,0.4558,0.4935,0.4705,0.4219,0.3999,0.3978,0.4507,0.5104,0.5266,0.544,0.523,0.5011,0.4436,0.3324
L28,0.2206,0.1973,0.1807,0.172,0.1668,0.1665,0.1628,0.16,0.1837,0.2266,0.255,0.276,0.2632,0.236,0.2237,0.2225,0.2521,0.2855,0.2946,0.3043,0.2925,0.2803,0.2481,0.1859
L29,0.2072,0.1854,0.1697,0.1616,0.1567,0.1564,0.1529,0.1503,0.1726,0.2129,0.2395,0.2593,0.2472,0.2217,0.2101,0.209,0.2368,0.2682,0.2767,0.2858,0.2748,0.2633,0.2331,0.1747
L30,0.1805,0.1614,0.1478,0.1407,0.1365,0.1363,0.1332,0.1309,0.1503,0.1854,0.2086,0.2258,0.2153,0.1931,0.183,0.182,0.2063,0.2336,0.241,0.249,0.2393,0.2293,0.203,0.1521
L31,0.4411,0.3946,0.3614,0.344,0.3336,0.3331,0.3255,0.3199,0.3675,0.4532,0.5099,0.552,0.5263,0.472,0.4474,0.4449,0.5042,0.5709,0.5891,0.6086,0.5851,0.5606,0.4962,0.3719
L32,0.2473,0.2212,0.2026,0.1928,0.187,0.1867,0.1825,0.1794,0.206,0.2541,0.2859,0.3095,0.2951,0.2646,0.2508,0.2494,0.2827,0.3201,0.3303,0.3412,0.328,0.3143,0.2782,0.2085
L33,0.6417,0.574,0.5256,0.5003,0.4852,0.4845,0.4735,0.4654,0.5345,0.6593,0.7417,0.8029,0.7656,0.6865,0.6507,0.6472,0.7334,0.8304,0.8569,0.8852,0.851,0.8154,0.7218,0.5409
L34,0.1203,0.1076,0.0986,0.0938,0.091,0.0908,0.0888,0.0873,0.1002,0.1236,0.1391,0.1506,0.1435,0.1287,0.122,0.1213,0.1375,0.1557,0.1607,0.166,0.1596,0.1529,0.1353,0.1014
L35,0.1069,0.0957,0.0876,0.0834,0.0809,0.0807,0.0789,0.0776,0.0891,0.1099,0.1236,0.1338,0.1276,0.1144,0.1085,0.1079,0.1222,0.1384,0.1428,0.1475,0.1418,0.1359,0.1203,0.0901
L36,0.3543,0.3169,0.2902,0.2762,0.2679,0.2675,0.2614,0.2569,0.2951,0.364,0.4095,0.4433,0.4227,0.379,0.3593,0.3573,0.4049,0.4585,0.4731,0.4887,0.4698,0.4502,0.3985,0.2986
L37,0.1872,0.1674,0.1533,0.1459,0.1415,0.1413,0.1381,0.1357,0.1559,0.1923,0.2163,0.2342,0.2233,0.2002,0.1898,0.1888,0.2139,0.2422,0.2499,0.2582,0.2482,0.2378,0.2105,0.1578
L38,0.2273,0.2033,0.1862,0.1772,0.1719,0.1716,0.1677,0.1648,0.1893,0.2335,0.2627,0.2844,0.2711,0.2431,0.2305,0.2292,0.2597,0.2941,0.3035,0.3135,0.3014,0.2888,0.2556,0.1916
L39,0.1337,0.1196,0.1095,0.1042,0.1011,0.1009,0.0986,0.097,0.1114,0.1373,0.1545,0.1673,0.1595,0.143,0.1356,0.1348,0.1528,0.173,0.1785,0.1844,0.1773,0.1699,0.1504,0.1127
L40,0.5815,0.5202,0.4764,0.4534,0.4397,0.4391,0.4291,0.4217,0.4844,0.5975,0.6722,0.7277,0.6938,0.6221,0.5897,0.5865,0.6646,0.7526,0.7766,0.8022,0.7712,0.7389,0.6541,0.4902
L41,0.1136,0.1016,0.0931,0.0886,0.0859,0.0858,0.0838,0.0824,0.0947,0.1167,0.1313,0.1422,0.1356,0.1216,0.1152,0.1146,0.1299,0.1471,0.1517,0.1568,0.1507,0.1444,0.1278,0.0958
L42,0.1136,0.1016,0.0931,0.0886,0.0859,0.0858,0.0838,0.0824,0.0947,0.1167,0.1313,0.1422,0.1356,0.1216,0.1152,0.1146,0.1299,0.1471,0.1517,0.1568,0.1507,0.1444,0.1278,0.0958
L43,0.1203,0.1076,0.0986,0.0938,0.091,0.0908,0.0888,0.0873,0.1002,0.1236,0.1391,0.1506,0.1435,0.1287,0.122,0.1213,0.1375,0.1557,0.1607,0.166,0.1596,0.1529,0.1353,0.1014
L44,0.1537,0.1375,0.1259,0.1199,0.1163,0.1161,0.1134,0.1115,0.1281,0.158,0.1777,0.1924,0.1834,0.1645,0.1559,0.1551,0.1757,0.199,0.2053,0.2121,0.2039,0.1954,0.1729,0.1296
L45,0.7553,0.6757,0.6187,0.5889,0.5712,0.5703,0.5573,0.5478,0.6292,0.776,0.8731,0.9451,0.9011,0.8081,0.766,0.7618,0.8633,0.9775,1.0086,1.0419,1.0017,0.9598,0.8496,0.6367
L46,0.4211,0.3767,0.3449,0.3283,0.3184,0.3179,0.3107,0.3054,0.3508,0.4326,0.4868,0.5269,0.5024,0.4505,0.427,0.4247,0.4813,0.545,0.5623,0.5809,0.5585,0.5351,0.4737,0.355
L47,0.5615,0.5023,0.4599,0.4378,0.4246,0.4239,0.4143,0.4072,0.4677,0.5769,0.649,0.7026,0.6699,0.6007,0.5694,0.5663,0.6417,0.7266,0.7498,0.7745,0.7446,0.7135,0.6316,0.4733
L48,0.0802,0.0718,0.0657,0.0625,0.0607,0.0606,0.0592,0.0582,0.0668,0.0824,0.0927,0.1004,0.0957,0.0858,0.0813,0.0809,0.0917,0.1038,0.1071,0.1106,0.1064,0.1019,0.0902,0.0676
L49,0.0802,0.0718,0.0657,0.0625,0.0607,0.0606,0.0592,0.0582,0.0668,0.0824,0.0927,0.1004,0.0957,0.0858,0.0813,0.0809,0.0917,0.1038,0.1071,0.1106,0.1064,0.1019,0.0902,0.0676
L50,1.8515,1.6563,1.5167,1.4437,1.4001,1.3979,1.3662,1.3428,1.5423,1.9023,2.1402,2.3168,2.209,1.9808,1.8776,1.8674,2.1161,2.3961,2.4725,2.5541,2.4555,2.3527,2.0827,1.5607
L51,0.5214,0.4664,0.4271,0.4065,0.3943,0.3936,0.3847,0.3781,0.4343,0.5357,0.6026,0.6524,0.622,0.5578,0.5287,0.5258,0.5959,0.6747,0.6962,0.7192,0.6914,0.6625,0.5865,0.4395
L52,0.5147,0.4604,0.4216,0.4013,0.3892,0.3886,0.3798,0.3733,0.4287,0.5288,0.5949,0.644,0.614,0.5506,0.5219,0.5191,0.5882,0.6661,0.6873,0.71,0.6826,0.654,0.5789,0.4338
L53,0.2607,0.2332,0.2135,0.2033,0.1971,0.1968,0.1924,0.1891,0.2171,0.2678,0.3013,0.3262,0.311,0.2789,0.2644,0.2629,0.2979,0.3374,0.3481,0.3596,0.3457,0.3313,0.2932,0.2197
L54,0.1872,0.1674,0.1533,0.1459,0.1415,0.1413,0.1381,0.1357,0.1559,0.1923,0.2163,0.2342,0.2233,0.2002,0.1898,0.1888,0.2139,0.2422,0.2499,0.2582,0.2482,0.2378,0.2105,0.1578
L55,0.4411,0.3946,0.3614,0.344,0.3336,0.3331,0.3255,0.3199,0.3675,0.4532,0.5099,0.552,0.5263,0.472,0.4474,0.4449,0.5042,0.5709,0.5891,0.6086,0.5851,0.5606,0.4962,0.3719
L56,0.0802,0.0718,0.0657,0.0625,0.0607,0.0606,0.0592,0.0582,0.0668,0.0824,0.0927,0.1004,0.0957,0.0858,0.0813,0.0809,0.0917,0.1038,0.1071,0.1106,0.1064,0.1019,0.0902,0.0676
L57,0.0401,0.0359,0.0329,0.0313,0.0303,0.0303,0.0296,0.0291,0.0334,0.0412,0.0464,0.0502,0.0478,0.0429,0.0407,0.0404,0.0458,0.0519,0.0536,0.0553,0.0532,0.051,0.0451,0.0338
L58,0.4545,0.4066,0.3723,0.3544,0.3437,0.3432,0.3354,0.3296,0.3786,0.467,0.5254,0.5688,0.5423,0.4863,0.4609,0.4584,0.5195,0.5882,0.607,0.627,0.6028,0.5776,0.5113,0.3831
L59,0.3142,0.281,0.2573,0.245,0.2376,0.2372,0.2318,0.2278,0.2617,0.3228,0.3631,0.3931,0.3748,0.3361,0.3186,0.3169,0.3591,0.4066,0.4195,0.4334,0.4166,0.3992,0.3534,0.2648
L60,0.4545,0.4066,0.3723,0.3544,0.3437,0.3432,0.3354,0.3296,0.3786,0.467,0.5254,0.5688,0.5423,0.4863,0.4609,0.4584,0.5195,0.5882,0.607,0.627,0.6028,0.5776,0.5113,0.3831
L61,0.4077,0.3647,0.334,0.3179,0.3083,0.3079,0.3009,0.2957,0.3396,0.4189,0.4713,0.5102,0.4865,0.4362,0.4135,0.4112,0.466,0.5277,0.5445,0.5625,0.5407,0.5181,0.4586,0.3437
L62,0.4746,0.4245,0.3888,0.37,0.3589,0.3583,0.3502,0.3442,0.3953,0.4876,0.5486,0.5938,0.5662,0.5077,0.4813,0.4787,0.5424,0.6142,0.6337,0.6547,0.6294,0.603,0.5338,0.4
L63,0.2607,0.2332,0.2135,0.2033,0.1971,0.1968,0.1924,0.1891,0.2171,0.2678,0.3013,0.3262,0.311,0.2789,0.2644,0.2629,0.2979,0.3374,0.3481,0.3596,0.3457,0.3313,0.2932,0.2197
L64,0.8689,0.7773,0.7118,0.6775,0.6571,0.6561,0.6412,0.6302,0.7238,0.8928,1.0044,1.0873,1.0367,0.9296,0.8812,0.8764,0.9931,1.1245,1.1604,1.1987,1.1524,1.1042,0.9774,0.7325
L65,0.3609,0.3229,0.2957,0.2814,0.2729,0.2725,0.2663,0.2618,0.3007,0.3708,0.4172,0.4517,0.4306,0.3862,0.366,0.364,0.4125,0.4671,0.482,0.4979,0.4787,0.4587,0.406,0.3043
L66,0.1337,0.1196,0.1095,0.1042,0.1011,0.1009,0.0986,0.097,0.1114,0.1373,0.1545,0.1673,0.1595,0.143,0.1356,0.1348,0.1528,0.173,0.1785,0.1844,0.1773,0.1699,0.1504,0.1127
L67,0.0735,0.0658,0.0602,0.0573,0.0556,0.0555,0.0543,0.0533,0.0612,0.0755,0.085,0.092,0.0877,0.0787,0.0746,0.0742,0.084,0.0952,0.0982,0.1014,0.0975,0.0934,0.0827,0.062
L68,0.1604,0.1435,0.1314,0.1251,0.1213,0.1211,0.1184,0.1163,0.1336,0.1648,0.1854,0.2007,0.1914,0.1716,0.1627,0.1618,0.1833,0.2076,0.2142,0.2213,0.2128,0.2038,0.1805,0.1352
L69,0.1404,0.1256,0.115,0.1094,0.1061,0.106,0.1036,0.1018,0.1169,0.1442,0.1623,0.1756,0.1675,0.1502,0.1423,0.1416,0.1604,0.1817,0.1874,0.1936,0.1862,0.1784,0.1579,0.1183
L70,0.3208,0.287,0.2628,0.2502,0.2426,0.2422,0.2367,0.2327,0.2673,0.3296,0.3709,0.4015,0.3828,0.3432,0.3254,0.3236,0.3667,0.4152,0.4284,0.4426,0.4255,0.4077,0.3609,0.2704
L71,1.0895,0.9746,0.8925,0.8495,0.8239,0.8226,0.8039,0.7902,0.9076,1.1194,1.2594,1.3633,1.2999,1.1656,1.1049,1.0989,1.2452,1.41,1.4549,1.503,1.4449,1.3845,1.2256,0.9184
L72,0.0668,0.0598,0.0548,0.0521,0.0505,0.0505,0.0493,0.0485,0.0557,0.0687,0.0773,0.0836,0.0797,0.0715,0.0678,0.0674,0.0764,0.0865,0.0893,0.0922,0.0886,0.0849,0.0752,0.0563
L73,0.4345,0.3887,0.3559,0.3388,0.3285,0.328,0.3206,0.3151,0.3619,0.4464,0.5022,0.5437,0.5183,0.4648,0.4406,0.4382,0.4966,0.5623,0.5802,0.5993,0.5762,0.5521,0.4887,0.3662
L74,0.0802,0.0718,0.0657,0.0625,0.0607,0.0606,0.0592,0.0582,0.0668,0.0824,0.0927,0.1004,0.0957,0.0858,0.0813,0.0809,0.0917,0.1038,0.1071,0.1106,0.1064,0.1019,0.0902,0.0676
L75,0.2005,0.1794,0.1643,0.1564,0.1516,0.1514,0.148,0.1454,0.167,0.206,0.2318,0.2509,0.2392,0.2145,0.2033,0.2022,0.2292,0.2595,0.2678,0.2766,0.2659,0.2548,0.2256,0.169
L76,0.2807,0.2511,0.23,0.2189,0.2123,0.212,0.2072,0.2036,0.2339,0.2884,0.3245,0.3513,0.3349,0.3003,0.2847,0.2831,0.3209,0.3633,0.3749,0.3873,0.3723,0.3567,0.3158,0.2366
L77,0.254,0.2272,0.2081,0.198,0.1921,0.1918,0.1874,0.1842,0.2116,0.261,0.2936,0.3178,0.303,0.2717,0.2576,0.2562,0.2903,0.3287,0.3392,0.3504,0.3369,0.3228,0.2857,0.2141
L78,0.1003,0.0897,0.0821,0.0782,0.0758,0.0757,0.074,0.0727,0.0835,0.103,0.1159,0.1255,0.1196,0.1073,0.1017,0.1011,0.1146,0.1298,0.1339,0.1383,0.133,0.1274,0.1128,0.0845
L79,0.2273,0.2033,0.1862,0.1772,0.1719,0.1716,0.1677,0.1648,0.1893,0.2335,0.2627,0.2844,0.2711,0.2431,0.2305,0.2292,0.2597,0.2941,0.3035,0.3135,0.3014,0.2888,0.2556,0.1916
L80,0.2807,0.2511,0.23,0.2189,0.2123,0.212,0.2072,0.2036,0.2339,0.2884,0.3245,0.3513,0.3349,0.3003,0.2847,0.2831,0.3209,0.3633,0.3749,0.3873,0.3723,0.3567,0.3158,0.2366
L81,0.2473,0.2212,0.2026,0.1928,0.187,0.1867,0.1825,0.1794,0.206,0.2541,0.2859,0.3095,0.2951,0.2646,0.2508,0.2494,0.2827,0.3201,0.3303,0.3412,0.328,0.3143,0.2782,0.2085
L82,0.147,0.1315,0.1205,0.1147,0.1112,0.111,0.1085,0.1066,0.1225,0.1511,0.17,0.184,0.1754,0.1573,0.1491,0.1483,0.1681,0.1903,0.1964,0.2029,0.195,0.1869,0.1654,0.124
L83,0.0334,0.0299,0.0274,0.0261,0.0253,0.0252,0.0247,0.0242,0.0278,0.0343,0.0386,0.0418,0.0399,0.0358,0.0339,0.0337,0.0382,0.0433,0.0446,0.0461,0.0443,0.0425,0.0376,0.0282
L84,0.1537,0.1375,0.1259,0.1199,0.1163,0.1161,0.1134,0.1115,0.1281,0.158,0.1777,0.1924,0.1834,0.1645,0.1559,0.1551,0.1757,0.199,0.2053,0.2121,0.2039,0.1954,0.1729,0.1296
L85,0.254,0.2272,0.2081,0.198,0.1921,0.1918,0.1874,0.1842,0.2116,0.261,0.2936,0.3178,0.303,0.2717,0.2576,0.2562,0.2903,0.3287,0.3392,0.3504,0.3369,0.3228,0.2857,0.2141
L86,0.2072,0.1854,0.1697,0.1616,0.1567,0.1564,0.1529,0.1503,0.1726,0.2129,0.2395,0.2593,0.2472,0.2217,0.2101,0.209,0.2368,0.2682,0.2767,0.2858,0.2748,0.2633,0.2331,0.1747
L87,0.2874,0.2571,0.2354,0.2241,0.2173,0.217,0.2121,0.2084,0.2394,0.2953,0.3322,0.3597,0.3429,0.3075,0.2915,0.2899,0.3285,0.372,0.3838,0.3965,0.3812,0.3652,0.3233,0.2423
L88,0.3342,0.299,0.2738,0.2606,0.2527,0.2523,0.2466,0.2424,0.2784,0.3434,0.3863,0.4182,0.3987,0.3575,0.3389,0.3371,0.382,0.4325,0.4463,0.461,0.4432,0.4247,0.3759,0.2817
L89,0.0134,0.012,0.011,0.0104,0.0101,0.0101,0.0099,0.0097,0.0111,0.0137,0.0155,0.0167,0.0159,0.0143,0.0136,0.0135,0.0153,0.0173,0.0179,0.0184,0.0177,0.017,0.015,0.0113
L90,0.0535,0.0478,0.0438,0.0417,0.0404,0.0404,0.0395,0.0388,0.0445,0.0549,0.0618,0.0669,0.0638,0.0572,0.0542,0.0539,0.0611,0.0692,0.0714,0.0738,0.0709,0.0679,0.0602,0.0451
L91,0.2607,0.2332,0.2135,0.2033,0.1971,0.1968,0.1924,0.1891,0.2171,0.2678,0.3013,0.3262,0.311,0.2789,0.2644,0.2629,0.2979,0.3374,0.3481,0.3596,0.3457,0.3313,0.2932,0.2197
L92,0.4545,0.4066,0.3723,0.3544,0.3437,0.3432,0.3354,0.3296,0.3786,0.467,0.5254,0.5688,0.5423,0.4863,0.4609,0.4584,0.5195,0.5882,0.607,0.627,0.6028,0.5776,0.5113,0.3831
L93,0.0401,0.0359,0.0329,0.0313,0.0303,0.0303,0.0296,0.0291,0.0334,0.0412,0.0464,0.0502,0.0478,0.0429,0.0407,0.0404,0.0458,0.0519,0.0536,0.0553,0.0532,0.051,0.0451,0.0338
L94,0.0535,0.0478,0.0438,0.0417,0.0404,0.0404,0.0395,0.0388,0.0445,0.0549,0.0618,0.0669,0.0638,0.0572,0.0542,0.0539,0.0611,0.0692,0.0714,0.0738,0.0709,0.0679,0.0602,0.0451
L95,0.147,0.1315,0.1205,0.1147,0.1112,0.111,0.1085,0.1066,0.1225,0.1511,0.17,0.184,0.1754,0.1573,0.1491,0.1483,0.1681,0.1903,0.1964,0.2029,0.195,0.1869,0.1654,0.124
L96,1.2299,1.1002,1.0075,0.959,0.93,0.9286,0.9075,0.892,1.0245,1.2636,1.4216,1.539,1.4673,1.3158,1.2472,1.2405,1.4057,1.5916,1.6424,1.6966,1.6311,1.5628,1.3835,1.0367
L97,0.1337,0.1196,0.1095,0.1042,0.1011,0.1009,0.0986,0.097,0.1114,0.1373,0.1545,0.1673,0.1595,0.143,0.1356,0.1348,0.1528,0.173,0.1785,0.1844,0.1773,0.1699,0.1504,0.1127
L98,0.2206,0.1973,0.1807,0.172,0.1668,0.1665,0.1628,0.16,0.1837,0.2266,0.255,0.276,0.2632,0.236,0.2237,0.2225,0.2521,0.2855,0.2946,0.3043,0.2925,0.2803,0.2481,0.1859
